В Якутске водитель "Тойоты" сбила 3-летнего ребенка, сдавая задним ходом  Подробнее - https://yakutsk.news/v-yakutske-voditel-tojoty-sbila-3-letnego-rebenka-sdavaya-zadnim-xodom/№%:№%:2018-05-04 09:46:29№%:№%:139776120
В Якутии мужчина избивал супругу на глазах у детей  Подробнее - https://yakutsk.news/v-yakutii-muzhchina-izbival-suprugu-na-glazax-u-detej/№%:№%:2018-05-03 14:33:33№%:№%:139776120
В Сирии разбился российский истребитель Су-30СМ  Подробнее - https://yakutsk.news/v-sirii-razbilsya-rossijskij-istrebitel-su-30sm/№%:№%:2018-05-03 13:50:19№%:№%:139776120
Якутские бойцы завоевали 7 медалей на Кубке России по миксфайту  Подробнее - https://yakutsk.news/yakutskie-bojcy-zavoevali-7-medalej-na-kubke-rossii-po-miksfajtu/№%:№%:2018-05-03 13:37:07№%:№%:139776120
В Якутске 3 мая произошло ДТП: пострадали два 7-летних ребенка  Подробнее - https://yakutsk.news/v-yakutske-3-maya-proizoshlo-dtp-postradali-dva-7-letnix-rebenka/№%:№%:2018-05-03 12:56:15№%:№%:139776120
В Якутии спустя 10 лет раскрыто изнасилование школьницы  Подробнее - https://yakutsk.news/v-yakutii-spustya-10-let-raskryto-iznasilovanie-shkolnicy/№%:№%:2018-05-03 12:17:14№%:№%:139776120
Отключение света 4 мая в Якутске и четырех районах Якутии  Подробнее - https://yakutsk.news/otklyuchenie-sveta-4-maya-v-yakutske-i-chetyrex-rajonax-yakutii/№%:№%:2018-05-03 11:44:14№%:№%:139776120
В Якутии пьяный водитель без прав попал в ДТП  Подробнее - https://yakutsk.news/v-yakutii-pyanyj-voditel-bez-prav-popal-v-dtp/№%:№%:2018-05-03 11:36:16№%:№%:139776120
В Якутске столкнулись две машины. Пострадал ребенок  Подробнее - https://yakutsk.news/v-yakutske-stolknulis-dve-mashiny-postradal-rebenok/№%:№%:2018-05-01 05:55:26№%:№%:139776120
В Якутии 5-летний ребенок пострадал, перебегая дорогу  Подробнее - https://yakutsk.news/v-yakutii-5-letnij-rebenok-postradal-perebegaya-dorogu/№%:№%:2018-05-01 04:41:16№%:№%:139776120
Спортсменка из Якутии - чемпионка России по марафонскому бегу  Подробнее - https://yakutsk.news/sportsmenka-iz-yakutii-chempionka-rossii-po-marafonskomu-begu/№%:№%:2018-04-30 15:49:36№%:№%:139776120
В Якутии трое несовершеннолетних задержаны за кражу  Подробнее - https://yakutsk.news/v-yakutii-troe-nesovershennoletnix-zaderzhany-za-krazhu/№%:№%:2018-04-30 09:19:26№%:№%:139776120
